1	10
2	3
3	10
4	5
5	5
6	8
7	10
8	8
9	2
10	1
11	6
12	2
13	6
14	9
15	3
16	1
17	10
18	8
19	1
20	3
21	9
22	4
23	6
24	9
25	7
26	1
27	1
28	7
29	1
30	7
31	3
32	1
33	1
34	5
35	7
36	1
37	6
38	4
39	8
40	3
41	4
42	9
43	10
44	1
45	5
46	1
47	7
48	10
49	10
50	7
51	5
52	1
53	7
54	8
55	7
56	6
57	9
58	2
59	2
60	10
61	8
62	8
63	4
64	10
65	4
66	3
67	1
68	10
69	6
70	3
71	2
72	4
73	2
74	10
75	2
76	4
77	1
78	4
79	4
80	5
81	1
82	2
83	4
84	4
85	7
86	3
87	8
88	5
89	4
90	5
91	3
92	1
93	4
94	9
95	10
96	9
97	7
98	1
99	5
100	8
